id,Nome,Energia (kcal),Proteína (g),Lipídeos (g),Colesterol (mg),Carboidrato (g),Fibra Alimentar (g),Cálcio (mg),Magnésio (mg)
470,Bebida isotônica sabores variados,26,0.0,0.0,NA,6.4,NA,1,Tr
471,Café infusão 10%,9,0.7,0.1,NA,1.5,NA,3,10
472,Cana aguardente,,902,,,NA,,,Tr
473,Cana caldo de,65,Tr,Tr,NA,18.2,0.1,9,12
474,Cerveja pilsen,92.4,170,0.6,Tr,NA,3.3,0.1,5
475,Chá erva-doce infusão 5%,1,0.0,0.0,NA,0.4,NA,2,1
476,Chá mate infusão 5%,3,0.0,0.1,NA,0.6,NA,1,2
477,Chá preto infusão 5%,2,0.0,0.0,NA,0.6,NA,0,1
478,Coco água de,22,0.0,0.0,NA,5.3,0.1,19,5
479,Refrigerante tipo água tônica,31,0.0,0.0,NA,8.0,NA,1,Tr
480,Refrigerante tipo cola,34,0.0,0.0,NA,8.7,NA,1,Tr
481,Refrigerante tipo guaraná,39,0.0,0.0,NA,10.0,NA,1,Tr
482,Refrigerante tipo laranja,46,0.0,0.0,NA,11.8,NA,2,1
483,Refrigerante tipo limão,40,0.0,0.0,NA,10.3,NA,2,1
484,Omelete de queijo,268,15.6,22.0,384,0.4,NA,166,14
486,Ovo de galinha clara cozida/10minutos,59,13.4,0.1,NA,0.0,NA,6,11
487,Ovo de galinha gema cozida/10minutos,353,15.9,30.8,1272,1.6,NA,114,9
488,Ovo de galinha inteiro cozido/10minutos,146,13.3,9.5,397,0.6,NA,49,11
490,Ovo de galinha inteiro frito,240,15.6,18.6,516,1.2,NA,73,16
491,Achocolatado pó,401,4.2,2.2,Tr,91.2,3.9,44,77
492,Açúcar cristal,387,0.3,Tr,NA,99.6,NA,8,1
493,Açúcar mascavo,369,0.8,0.1,NA,94.5,NA,127,80
494,Açúcar refinado,387,0.3,Tr,NA,99.5,NA,4,1
495,Chocolate ao leite,540,7.2,30.3,17,59.6,2.2,191,57
496,Chocolate ao leite com castanha do Pará,559,7.4,34.2,16,55.4,2.5,171,80
497,Chocolate ao leite dietético,557,6.9,33.8,13,56.3,2.8,188,67
498,Chocolate meio amargo,475,4.9,29.9,2,62.4,4.9,45,107
499,Cocada branca,449,1.1,13.6,NA,81.4,3.6,7,17
500,Doce de abóbora cremoso,199,0.9,0.2,NA,54.6,2.3,13,6
501,Doce de leite cremoso,306,5.5,6.0,20,59.5,NA,195,16
502,Geléia mocotó natural,106,2.1,0.1,Tr,24.2,NA,4,1
503,Glicose de milho,292,0.0,0.0,NA,79.4,NA,6,2
504,Maria mole,301,3.8,0.2,NA,73.6,0.7,13,7
505,Maria mole coco queimado,307,3.9,0.1,NA,75.1,0.6,19,6
506,Marmelada,257,0.4,0.1,NA,70.8,4.1,11,6
507,Mel de abelha,309,0.0,0.0,NA,84.0,NA,10,6
508,Melado,297,0.0,0.0,NA,76.6,NA,102,115
509,Quindim,411,4.7,24.4,271,46.3,3.2,37,15
510,Rapadura,352,1.0,0.1,NA,90.8,NA,30,47
511,Café pó torrado,419,14.7,11.9,NA,65.8,51.2,107,165
512,Capuccino pó,417,11.3,8.6,29,73.6,2.4,467,71
513,Fermento em pó químico,90,0.5,0.1,NA,43.9,NA,,
514,Fermento biológico levedura tablete,90,17.0,1.5,NA,7.7,4.2,18,38
515,Gelatina sabores variados pó,380,8.9,Tr,NA,89.2,NA,27,2
516,Sal dietético,NA,NA,NA,NA,NA,NA,,
517,Sal grosso,NA,NA,NA,NA,NA,NA,,
518,Shoyu,61,3.3,0.3,NA,11.6,NA,15,24
519,Tempero a base de sal,21,2.7,0.3,NA,2.1,0.6,,
520,Azeitona preta conserva,194,1.2,20.3,NA,5.5,4.6,59,5
521,Azeitona verde conserva,137,0.9,14.2,NA,4.1,3.8,46,4
522,Chantilly spray com gordura vegetal,315,0.5,27.3,Tr,16.9,NA,2,1
523,Leite de coco,166,1.0,18.4,NA,2.2,0.7,6,17
524,Maionese tradicional com ovos,302,0.6,30.5,42,7.9,NA,3,1
525,Acarajé,289,8.3,19.9,25,19.1,9.4,124,51
526,Arroz carreteiro,154,10.8,7.1,36,11.6,1.5,13,9
527,Baião de dois arroz e feijão-de-corda,136,6.2,3.2,4,20.4,5.1,33,19
528,Barreado,165,18.3,9.5,60,0.2,0.1,15,21
529,Bife à cavalo com contra filé,291,23.7,21.1,257,0.0,NA,26,19
530,Bolinho de arroz,274,8.0,8.3,70,41.7,2.7,24,13
531,Camarão à baiana,101,7.9,6.0,117,3.2,0.4,43,15
532,Charuto de repolho,78,6.8,1.1,21,10.1,1.5,23,13
533,Cuscuz de milho cozido com sal,113,2.2,0.7,NA,25.3,2.1,2,3
534,Cuscuz paulista,142,2.6,4.6,15,22.5,2.4,14,5
535,Cuxá molho,80,5.6,3.6,58,5.7,3.0,105,34
536,Dobradinha,125,19.8,4.4,144,0.0,NA,11,8
537,Estrogonofe de carne,173,15.0,10.8,66,3.0,,28,22
538,Estrogonofe de frango,157,17.6,8.0,80,2.6,,26,25
539,Feijão tropeiro mineiro,152,10.2,6.8,68,19.6,3.6,41,36
540,Feijoada,117,8.7,6.5,22,11.6,5.1,32,32
541,Frango com açafrão,113,9.7,6.2,50,4.1,0.2,13,16
542,Macarrão molho bolognesa,120,4.9,0.9,7,22.5,0.8,11,10
543,Maniçoba,134,10.0,8.7,43,3.4,2.2,66,24
544,Quibebe,86,8.6,2.7,NA,6.6,1.7,8,10
545,Salada de legumes com maionese,96,1.1,7.0,7,8.9,2.2,12,9
546,Salada de legumes cozida no vapor,35,2.0,0.3,NA,7.1,2.5,33,19
547,Salpicão de frango,148,13.9,7.8,53,4.6,0.4,9,13
548,Sarapatel,123,18.5,4.4,315,1.1,,12,13
549,Tabule,57,2.0,1.2,NA,10.6,2.1,19,18
